dgp,alpha,N,R,method,quantity,nominal,coverage,acd,rcd,mc_se,ci95_lo,ci95_hi,ci_method,repetitions
beta_strictly_uniform_support_probs,0.5,1000,225,qlr,theta,0.5000,0.996053,+0.496053,+0.992107,0.000349,0.995342,0.996693,bootstrap,250
beta_strictly_uniform_support_probs,0.5,1000,225,qlr,mean_1,0.5000,0.632000,+0.132000,+0.264000,0.030562,0.570642,0.689363,wilson,250
beta_strictly_uniform_support_probs,0.5,1000,225,qlr,mean_2,0.5000,0.652000,+0.152000,+0.304000,0.030187,0.591057,0.708343,wilson,250
beta_strictly_uniform_support_probs,0.05,10000,25,fkrb,theta,0.9500,0.950080,+0.000080,+0.000084,0.003433,0.943200,0.956640,bootstrap,250
beta_strictly_uniform_support_probs,0.05,10000,25,fkrb,mean_1,0.9500,0.964000,+0.014000,+0.014737,0.011806,0.933010,0.980947,wilson,250
beta_strictly_uniform_support_probs,0.05,10000,25,fkrb,mean_2,0.9500,0.944000,-0.006000,-0.006316,0.014571,0.908209,0.966352,wilson,250
beta_strictly_uniform_support_probs,0.05,10000,25,cp_wald,theta,0.9500,0.990720,+0.040720,+0.042863,0.001247,0.988160,0.993120,bootstrap,250
beta_strictly_uniform_support_probs,0.05,10000,25,cp_wald,mean_1,0.9500,1.000000,+0.050000,+0.052632,0.000000,0.984867,1.000000,wilson,250
beta_strictly_uniform_support_probs,0.05,10000,25,cp_wald,mean_2,0.9500,0.988000,+0.038000,+0.040000,0.006900,0.965319,0.995911,wilson,250
beta_strictly_uniform_support_probs,0.05,10000,25,qlr,theta,0.9500,0.970400,+0.020400,+0.021474,0.002605,0.965120,0.975360,bootstrap,250
beta_strictly_uniform_support_probs,0.05,10000,25,qlr,mean_1,0.9500,0.968000,+0.018000,+0.018947,0.011154,0.938138,0.983698,wilson,250
beta_strictly_uniform_support_probs,0.05,10000,25,qlr,mean_2,0.9500,0.960000,+0.010000,+0.010526,0.012418,0.927947,0.978130,wilson,250
beta_strictly_uniform_support_probs,0.5,10000,25,fkrb,theta,0.5000,0.501600,+0.001600,+0.003200,0.008166,0.485920,0.517600,bootstrap,250
beta_strictly_uniform_support_probs,0.5,10000,25,fkrb,mean_1,0.5000,0.488000,-0.012000,-0.024000,0.031677,0.426690,0.549673,wilson,250
beta_strictly_uniform_support_probs,0.5,10000,25,fkrb,mean_2,0.5000,0.500000,+0.000000,+0.000000,0.031686,0.438491,0.561509,wilson,250
beta_strictly_uniform_support_probs,0.5,10000,25,cp_wald,theta,0.5000,0.656160,+0.156160,+0.312320,0.006263,0.644000,0.668640,bootstrap,250
beta_strictly_uniform_support_probs,0.5,10000,25,cp_wald,mean_1,0.5000,0.836000,+0.336000,+0.672000,0.023465,0.785082,0.876749,wilson,250
beta_strictly_uniform_support_probs,0.5,10000,25,cp_wald,mean_2,0.5000,0.652000,+0.152000,+0.304000,0.030187,0.591057,0.708343,wilson,250
beta_strictly_uniform_support_probs,0.5,10000,25,qlr,theta,0.5000,0.532320,+0.032320,+0.064640,0.007915,0.516960,0.547848,bootstrap,250
beta_strictly_uniform_support_probs,0.5,10000,25,qlr,mean_1,0.5000,0.544000,+0.044000,+0.088000,0.031563,0.482060,0.604608,wilson,250
beta_strictly_uniform_support_probs,0.5,10000,25,qlr,mean_2,0.5000,0.588000,+0.088000,+0.176000,0.031192,0.526105,0.647232,wilson,250
beta_tight_normal_support_probs,0.05,1000,25,fkrb,theta,0.9500,0.944320,-0.005680,-0.005979,0.004240,0.935840,0.952480,bootstrap,250
